model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
ConvKB,YAGO3-10,2,50,2056.2398920059204,2655.630626678467,0.00016363481690023665,0.08963676542043686,0.04847450822962666,0.09664793255720594,0.12444801284624649,0.16740264953833803,11419.332296742754,18961.1875,93.9990382149269,100,241.30878652645978,281.576,313.62098622222226
ConvKB,YAGO3-10,3,50,2078.0057010650635,2653.7646493911743,0.00013266893996158335,0.09043847769498825,0.05369329586511441,0.0960457647531112,0.12063428342031313,0.15947410678442392,11375.097324718336,18961.1875,94.29731859519093,100,242.02228920409772,283.269,315.6575706944445
ConvKB,YAGO3-10,4,50,2097.2061052322388,2654.3054897785187,0.00013318128038133448,0.0832395851612091,0.04536330790847049,0.08821758329987957,0.11250501806503413,0.15616218386190284,11340.084110205424,18961.1875,94.17082529520256,100,240.50080962879736,282.362,315.1295469722222
ConvKB,YAGO3-10,5,50,2049.296309709549,2654.5430533885956,0.00013520034182994709,0.07990922778844833,0.04195102368526696,0.08219590525893215,0.10949417904456042,0.15596146126053795,11438.335997890837,19007.1875,94.20823965225584,100,241.6412560330614,281.57,313.4691193888889
ConvKB,YAGO3-10,6,50,2069.80118727684,2654.277599811554,0.0001342735933353029,0.09170100092887878,0.053592934564431954,0.09554395824969891,0.12264150943396226,0.16328783621035728,11395.578834939553,19007.1875,94.15370674399267,100,242.2272806763182,283.625,315.57504697222225
DistMult,YAGO3-10,2,50,1104.3808550834656,4.990589618682861,8.749798955698657e-05,0.08295151591300964,0.04646728221597752,0.08289843436370935,0.10547972701726215,0.1488358089120835,1419.448235080058,22033.1875,74.21042576419214,100,191.54824308588064,315.116,58.48606355555556
DistMult,YAGO3-10,3,50,1104.9942688941956,4.988485097885132,8.702745780031731e-05,0.08047109097242355,0.04546366920915295,0.0776796467282216,0.09865515857085508,0.14191087916499398,1419.4319121388335,22033.1875,74.20307105215338,100,191.1686722696711,316.171,58.444511305555565
DistMult,YAGO3-10,4,50,1102.2826607227325,4.98590874671936,8.746310001121784e-05,0.08137204498052597,0.043958249698916096,0.08169409875551988,0.10517864311521477,0.14702930549979928,1419.5531423816906,22033.1875,74.31886568797302,100,191.44624026625328,315.313,58.321969916666674
DistMult,YAGO3-10,5,50,1103.4081346988678,4.907211780548096,8.711159537351548e-05,0.07819609344005585,0.04235246888799679,0.07757928542753914,0.10026093938177438,0.143014853472501,1421.281576972068,22033.1875,74.28960058229461,100,191.57568028386862,315.656,58.48911950000001
DistMult,YAGO3-10,6,50,1102.7974889278412,4.954882621765137,8.728913822637917e-05,0.0795639231801033,0.04365716579686873,0.07788036932958652,0.10216780409474106,0.14431955038137295,1419.59758831831,22033.1875,74.28708003277794,100,191.32242210689247,314.73,58.36928227777778
TransE,YAGO3-10,2,50,1036.7741870880127,5.116482734680176,9.957447087983681e-05,0.057005759328603745,0.0014050582095543958,0.07486953030911281,0.10437575270975512,0.15034122842232037,1421.6206395348838,22035.1875,78.06695736434108,100,195.37255242248062,309.447,56.006798361111116
TransE,YAGO3-10,3,50,1038.3505039215088,5.07266902923584,0.00010046468057270775,0.0588344931602478,0.00030108390204737056,0.07717784022480931,0.10738659173022883,0.15917302288237656,1419.7112680317553,22035.1875,77.90086165166038,100,195.11626091586794,310.037,55.982107194444445
TransE,YAGO3-10,4,50,1076.5023975372314,10.105290412902832,0.00033108451108690103,0.054041456431150436,0.0007025291047771979,0.0688478522681654,0.09634684865515857,0.1444199116820554,1424.4104038854805,22035.1875,74.67438185536345,100,190.36314761108014,289.276,56.88685394444445
TransE,YAGO3-10,5,50,1129.4386167526245,5.073085784912109,0.0001004742119545046,0.05493069440126419,0.0014050582095543958,0.06874749096748294,0.1011641910879165,0.1472300281011642,1416.6201923076924,22035.1875,71.5613425925926,100,185.690708511396,311.461,57.93550105555556
TransE,YAGO3-10,6,50,1038.46999502182,5.068090200424194,0.00010015353835619678,0.057323869317770004,0.0012043356081894822,0.07486953030911281,0.10537936571657969,0.15435568044961862,1419.663073183709,22035.1875,77.88536325819871,100,195.31231353390731,310.343,56.08176069444445
RotatE,YAGO3-10,2,50,1746.974336862564,7.517925024032593,0.00011859785085704757,0.15876033902168274,0.09413890004014452,0.1716178241670012,0.2169811320754717,0.2880369329586511,1892.7675126502213,22439.1875,83.25076188833305,100,204.79395118164567,311.059,98.93254458333334
RotatE,YAGO3-10,3,50,1723.8650467395782,7.48021125793457,0.00011974920558700931,0.16512121260166168,0.10076274588518667,0.1776395022079486,0.22330389401846648,0.29235246888799676,1892.4224274771364,22439.1875,84.40193394303023,100,206.76927844119533,310.795,98.60022786111112
RotatE,YAGO3-10,4,50,1725.567709684372,7.476399898529053,0.00012144396404594793,0.16191630065441132,0.09965877157767965,0.1730228823765556,0.2167804094741068,0.2868325973504617,1892.380170157068,22439.1875,84.28935427574172,100,207.17990285049447,311.063,98.92840361111112
RotatE,YAGO3-10,5,50,1724.6561839580536,7.470393419265747,0.00011937051425627774,0.1676444560289383,0.10156563629064633,0.18265756724207147,0.2290244881573665,0.2977719791248495,1893.3113361266294,22439.1875,84.33304236499069,100,207.03008112197392,310.424,98.82235872222222
RotatE,YAGO3-10,6,50,1724.3549506664276,7.478866100311279,0.00011979323170259625,0.1595568209886551,0.09594540345242875,0.1712163789642714,0.2164793255720594,0.28643115214773185,1893.3122817483413,22439.1875,84.3896519613549,100,206.95040006984055,311.258,98.77282705555557
